epsilon,train_sample_robustness_0masks,train_sample_robustness_10masks,train_sample_robustness_30masks,trivial_nb_0masks,trivial_nb_10masks,trivial_nb_30masks
0.962,0.0018964536572849845,0.0053099893221648185,0.007301139789506949,0,0,0
0.964,0.001137867698913594,0.005025561732688639,0.007870230979972626,0,0,0
0.966,0.0014698459890011891,0.003935031200160128,0.00990899957978712,0,0,0
0.968,0.0014697448412097683,0.004314234270197894,0.008107253971202774,0,0,0
0.97,0.0013275085691846962,0.00564156302108673,0.008059826895669763,0,0,0
0.972,0.0017067790710834085,0.0067796217769396745,0.008439153590785928,0,0,0
0.974,0.0010904406233805818,0.005926249099363208,0.00839183890168783,0,0,0
0.976,0.001991262853777044,0.007111633782957744,0.006874633269014577,0,0,0
0.978,0.0021808700081176725,0.00597376608404415,0.008865851168217656,0,0,0
0.98,0.0014697448412097683,0.0037929410305004426,0.008107175300698335,0,0,0
0.981,0.0012327106113361277,0.005784001588694644,0.007917579385001199,0,0,0
0.982,0.00085339515486345,0.006258159957589856,0.007680533916484067,0,0,0
0.983,0.000474113414321246,0.006210687927482877,0.0072063980248758385,0,0,0
0.984,0.0009482493059294746,0.005404674893578475,0.006068575280536209,0,0,0
0.985,0.0013750030765786558,0.004408987273472497,0.005878956887552089,0,0,0
0.986,0.0019437795850265754,0.003887469260905221,0.003887727749705519,0,0,0
0.987,0.0018489928658214985,0.003413355846583975,0.004456549212727404,0,0,0
0.988,0.001564565276345319,0.003935121109308058,0.004266897103812811,0,0,0
0.989,0.0013274748532542224,0.002417859283417348,0.003982503230267106,0,0,0
0.99,0.0008533839162199587,0.0027497139484265395,0.002749826334861452,0,0,0
0.9902,0.0008533839162199587,0.0026548935132909885,0.002749826334861452,0,0,0
0.9904,0.0011852048652986765,0.002275578056818311,0.002986905519309057,0,0,0
0.9906,0.0011377890284091554,0.002275578056818311,0.0024653537908113075,0,0,0
0.9908,0.0010903731915196343,0.0029394222505585888,0.0028920963228169978,0,0,0
0.991,0.0009481481581380534,0.002370488401101792,0.002797264649037955,0,0,0
0.9912,0.0013274748532542224,0.0023230500869252883,0.0025602079418773323,0,0,0
0.9914,0.0011852498198726413,0.002228218413146246,0.00246537626809829,0,0,0
0.9916,0.001374913167430726,0.002607556346905906,0.002417960431208769,0,0,0
0.9918,0.0012800927322951748,0.0025601517486598764,0.002275735397827188,0,0,0
0.992,0.0011378564602701029,0.0020860720502691036,0.002323106280142744,0,0,0
0.9922,0.0010430360251345518,0.0023705783102497212,0.0023231175187862353,0,0,0
0.9924,0.0011378789375570853,0.002323173712003692,0.0021808812467611636,0,0,0
0.9926,0.0010430585024215344,0.002038678690666565,0.002086060811625613,0,0,0
0.9928,0.0009008222303964624,0.0018964536572849845,0.002228308322294176,0,0,0
0.993,0.0008060017952609113,0.002228274606363702,0.002323106280142744,0,0,0
0.9932,0.0006637655232358392,0.002133454171228151,0.0021808812467611636,0,0,0
0.9934,0.000663754284592348,0.0020860383343386303,0.002038656213379583,0,0,0
0.9936,0.000616338447702827,0.0020386337360926003,0.002038667452023074,0,0,0
0.9938,0.000426697577431725,0.0016119024427304015,0.002180858769474181,0,0,0
0.994,0.000426697577431725,0.0019438133009570494,0.0022282970836506846,0,0,0
0.9942,0.0006637880005228218,0.00218093743997862,0.001848981627178007,0,0,0
0.9944,0.00080599055661742,0.0020387011679535477,0.001991217899203079,0,0,0
0.9946,0.0006637655232358392,0.0019438807328179969,0.001754217385259912,0,0,0
0.9948,0.0006163496863463181,0.0018016556994364156,0.0018490153431084805,0,0,0
0.995,0.0010430023092040783,0.0015171494394557981,0.0015171157235253242,0,0,0
0.9952,0.0011378452216266118,0.0016119586359478577,0.0015645427990583366,0,0,0
0.9954,0.0010430247864910607,0.001659340756906905,0.0014222952883897733,0,0,0
0.9956,0.0009482043513555097,0.0013748794515002524,0.0013274748532542224,0,0,0
0.9958,0.001090463100667564,0.0013748906901437433,0.0013748794515002522,0,0,0
0.996,0.0010430472637780433,0.0012800702550081924,0.001564565276345319,0,0,0
0.9962,0.000900810991752971,0.0015171382008123068,0.0015171382008123068,0,0,0
0.9964,0.00080599055661742,0.0012326993726926364,0.0024652526430198863,0,0,0
0.9966,0.0007585747197278991,0.001137867698913594,0.0012800814936516837,0,0,0
0.9968,0.0006163384477028269,0.0010904631006675642,0.200995665142819,0,0,1
0.997,0.0007111476441948866,0.0009482043513555097,0.4006638217164533,0,0,2
0.9972,0.0005215067739237848,0.0008059680793304375,0.4005689900426742,0,0,2
0.9974,0.0004740909370342636,0.0007111476441948866,0.4005689900426742,0,0,2
0.9976,0.0009008334690399536,0.0007111476441948866,1.0,0,0,5
0.9978,0.0007111925987688516,0.0005689113721698146,1.0,0,0,5
0.998,0.0006637767618793304,0.0005689226108133059,1.0,0,0,5
0.9982,0.0006163609249898094,0.20042667510014475,1.0,0,1,5
0.9984,0.0007111925987688516,0.20037925926325523,1.0,0,1,5
0.9986,0.0005689563267437795,0.20037925926325523,1.0,0,1,5
0.9988,0.00037930421782918634,0.4002370342298736,1.0,0,2,5
0.999,0.00037930421782918634,0.800094831673779,1.0,0,4,5
0.9992,0.00037929297918569513,1.0,1.0,0,5,5
0.9994,0.00028446130540665294,1.0,1.0,0,5,5
0.9996,0.000237056707160623,1.0,1.0,0,5,5
0.9998,0.000237056707160623,1.0,1.0,0,5,5
