epsilon,train_sample_robustness_0masks,train_sample_robustness_10masks,train_sample_robustness_30masks,trivial_nb_0masks,trivial_nb_10masks,trivial_nb_30masks
0.902,0.01657973288226625,0.01657973288226625,0.01657973288226625,0,0,0
0.904,0.01657973288226625,0.01657973288226625,0.01657973288226625,0,0,0
0.906,0.01657973288226625,0.01657973288226625,0.01657973288226625,0,0,0
0.908,0.01657973288226625,0.01657973288226625,0.01657973288226625,0,0,0
0.91,0.014945141723621736,0.014945141723621736,0.014945141723621736,0,0,0
0.912,0.014945141723621736,0.014945141723621736,0.014945141723621736,0,0,0
0.914,0.014945141723621736,0.014945141723621736,0.014945141723621736,0,0,0
0.916,0.014945141723621736,0.014945141723621736,0.014945141723621736,0,0,0
0.918,0.013518634527341084,0.013518634527341084,0.013518634527341084,0,0,0
0.92,0.013518634527341084,0.013518634527341084,0.013518634527341084,0,0,0
0.922,0.013518634527341084,0.013518634527341084,0.013518634527341084,0,0,0
0.924,0.012329840957417801,0.012329840957417801,0.012329840957417801,0,0,0
0.926,0.012329840957417801,0.012329840957417801,0.012329840957417801,0,0,0
0.928,0.012329840957417801,0.012329840957417801,0.012329840957417801,0,0,0
0.93,0.01128964658373493,0.01128964658373493,0.01128964658373493,0,0,0
0.932,0.01128964658373493,0.01128964658373493,0.01128964658373493,0,0,0
0.934,0.010368249588381576,0.010368249588381576,0.010368249588381576,0,0,0
0.936,0.010368249588381576,0.010368249588381576,0.010368249588381576,0,0,0
0.938,0.009536306975118663,0.009536306975118663,0.009417099703475092,0,0,0
0.94,0.009536306975118663,0.009536306975118663,0.009417099703475092,0,0,0
0.942,0.008822870556435086,0.008822870556435086,0.008703663284791515,0,0,0
0.944,0.008822870556435086,0.008822870556435086,0.008733465102702408,0,0,0
0.946,0.008139261644775419,0.008139261644775419,0.008169063462686314,0,0,0
0.948,0.007574715606082437,0.007574715606082437,0.007903024886679896,0,0,0
0.95,0.00700987838363927,0.00700987838363927,0.007397840228416279,0,0,0
0.952,0.00700987838363927,0.00700987838363927,0.007517047500059849,0,0,0
0.954,0.006534521232399564,0.006564080794918038,0.007071249911338619,0,0,0
0.956,0.006088723643678333,0.006413878831381556,0.006921047947802133,0,0,0
0.958,0.005642926054957103,0.005968081242660324,0.006534735125204354,0,0,0
0.96,0.004959123656128319,0.005403484529751032,0.0075190707971137,0,0,0
0.962,0.00460273168127423,0.005136351703959721,0.008057691394162257,0,0,0
0.964,0.00430553328879341,0.005283758186352575,0.007847035706404524,0,0,0
0.966,0.003770330086205037,0.0053150837347556035,0.007253257309851625,0,0,0
0.968,0.003294972934965332,0.0045739086437299485,0.006509048049031882,0,0,0
0.97,0.0028787349087625747,0.004097926458486408,0.006390270258095555,0,0,0
0.972,0.002492541115997594,0.004097567239388663,0.005883706684948214,0,0,0
0.974,0.002106395931321448,0.003533456943257215,0.005498395058493752,0,0,0
0.976,0.001779805614243787,0.0035033821209698736,0.005349064740214805,0,0,0
0.978,0.0013936116613443416,0.00383000531663091,0.004815551640585052,0,0,0
0.98,0.0011861781018284068,0.0028792396993973317,0.0038649113150385655,0,0,0
0.981,0.0010079448857332033,0.0030294136206151165,0.0035072594551335524,0,0,0
0.982,0.0021115600935512216,0.002941320294303594,0.0031216265364827347,0,0,0
0.983,0.0019930264640003223,0.002822852570500912,0.0032999805917411544,0,0,0
