acc_train,unf_train,error_train,masks
0.786567064570817,0.0005676521922796272,0.21343293542918296,10 masks
0.7859250831663139,0.00048443967100980645,0.21407491683368607,10 masks
0.7855165625943851,0.00044662310663944667,0.21448343740561493,10 masks
0.7801890680218595,0.00021131003785941315,0.2198109319781405,10 masks
0.7786967173611401,0.0,0.2213032826388599,10 masks
0.8124458094513372,0.02524629550851376,0.18755419054866285,30 masks
0.8121873468867216,0.02518070220443633,0.18781265311327844,30 masks
0.8107116496817476,0.022728612333038,0.18928835031825242,30 masks
0.8096528185445564,0.02129927733767361,0.1903471814554436,30 masks
0.8090858962072363,0.02038718987555531,0.19091410379276375,30 masks
0.8086273474948042,0.019666613827926727,0.19137265250519575,30 masks
0.8073851041713,0.017347995852065416,0.19261489582869995,30 masks
0.8066597505263949,0.01621629923296641,0.19334024947360506,30 masks
0.8060261323430623,0.013710092428086369,0.1939738676569377,30 masks
0.8052174102808627,0.013147549617011155,0.1947825897191373,30 masks
0.8040001857196055,0.0117719259381008,0.19599981428039448,30 masks
0.8037500665655127,0.011460124299181858,0.19624993343448727,30 masks
0.8025995270760564,0.01094860506962443,0.19740047292394358,30 masks
0.8012155392660134,0.010262759499099359,0.1987844607339866,30 masks
0.7995731194762137,0.009557303027223943,0.20042688052378632,30 masks
0.797788962498535,0.008750007394289291,0.20221103750146496,30 masks
0.7969635807245959,0.008066325087911259,0.20303641927540406,30 masks
0.7958047113792699,0.00460819719484448,0.2041952886207301,30 masks
0.7956963283703908,0.0044504333957449795,0.20430367162960916,30 masks
0.7952794591746107,0.004251215644402849,0.20472054082538926,30 masks
0.7947041944694331,0.003976029565010214,0.20529580553056692,30 masks
0.7944957569173237,0.0034887082320056947,0.20550424308267634,30 masks
0.7943790357112499,0.0031989562734489802,0.2056209642887501,30 masks
0.7940121950035282,0.0017888027238125812,0.20598780499647185,30 masks
0.7918528549502704,0.001403183143078368,0.20814714504972964,30 masks
0.7918028320230952,0.0011573071560007724,0.2081971679769048,30 masks
0.7915944031598664,0.0009592763027571283,0.2084055968401336,30 masks
0.7908273529681038,0.00072759273159842,0.2091726470318962,30 masks
0.7907273067661987,0.0006029483812028814,0.20927269323380127,30 masks
0.7904104928087594,0.0004895231339530042,0.2095895071912406,30 masks
0.7891098953119897,0.0003628312115231729,0.21089010468801028,30 masks
0.7847995607013283,0.0002470898920607069,0.21520043929867172,30 masks
0.7813896499015831,0.00015030710618905464,0.2186103500984169,30 masks
0.7786967173611401,0.0,0.2213032826388599,30 masks
